Name,Price,Cpu,ScreenResolution,Ram,Memory,Gpu,OpSys,Weight
"ASUS VivoBook 15 X515EA Core i3 11th Gen 8GB RAM 512GB SSD 15.6"" FHD Laptop With Fingerprint","63,520৳",Intel Core i3-1115G4 ,"15.6-inch FHD (1920 x 1080) Touch ScreenNo Display Features16:9, Anti-glare display, LED Backlit, 250nits, NTSC: 45%, Screen-to-body ratio: 83 % IPS Panel Display ",8GB(4GBONBOARD) ,PCI-E G3 SSD 512GB ,Intel UHD Graphics Shared ,Windows 11 Home 64bit ,"SLATE GREY (BQ2225W-X515EA) 36.02 x 23.49 x 1.99 ~ 1.99 cm (14.18"" x 9.25"" x 0.78"" ~ 0.78"") 1.80 kg (3.97 lbs) Body MaterialABS Plastic "
"ASUS VivoBook 15 X515JA Core i5 10th Gen 15.6"" FHD Laptop","63,520৳",Intel Core i5-1035G1 ,"15.6-inch  FHD (1920 x 1080) Touch ScreenNo Display Features16:9, Anti-glare display, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 % Display ",4GB ,SATA HDD 1TB ,Intel UHD Graphics Shared ,Windows 11 Home ,"Slate Grey 36.02 x 23.49 x 1.99 ~ 1.99 cm (14.18"" x 9.25"" x 0.78"" ~ 0.78"") 1.80 kg (3.97 lbs) Body MaterialABS Plastic "
"ASUS VivoBook 15 X515JA Core i5 10th Gen 8GB RAM 15.6"" FHD Laptop","66,770৳",Intel Core i5-1035G1 ,"15.6-inch  FHD (1920 x 1080) Touch ScreenNo Display Features16:9, Anti-glare display, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 % Display ",8GB ,HDD 1TB ,Intel UHD Graphics Shared ,Windows 11 Home ,"SLATE GREY, (BQ3553W-X515JA) 36.02 x 23.49 x 1.99 ~ 1.99 cm (14.18"" x 9.25"" x 0.78"" ~ 0.78"") 1.80 kg (3.97 lbs) Body MaterialABS Plastic "
"ASUS VivoBook 15 X1500EA Core i3 11th Gen 15.6"" FHD Laptop","66,770৳",Intel Core i3-1115G4 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,HDD 1TB ,Intel UHD Graphics Shared ,Windows 11 Home ,Indie Black 360.0 x 235.0 x 19.9mm 1.80 kg (3.97 lbs) 
"ASUS VivoBook 15 X1500EA Core i3 11th Gen 512GB SSD 15.6"" FHD Laptop","66,770৳",Intel Core i3-1115G4 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,NVMe PCIe 512GB SSD ,Intel UHD Graphics Shared ,Windows 11 Home ,Indie Black 360.0 x 235.0 x 19.9mm 1.80 kg (3.97 lbs) 
"Asus VivoBook 14 X1400EA Core i3 11th Gen 14"" FHD Laptop","66,770৳",Intel Core i3-1115G4 ,14-inch LED FHD (1920 x 1080) Refresh Rate60Hz ,8GB ,NVMe PCIe 512GB SSD ,Intel UHD Graphics Shared ,Windows 11 Home ,Black 325.4 x 216.0 x 19.9mm 1.55 kg 
"ASUS VivoBook 15 X515JA Core i5 10th Gen 512GB SSD 15.6"" FHD Laptop","72,740৳",Intel Core i5-1035G1 ,"15.6-inch  FHD (1920 x 1080) Touch ScreenNo Display Features16:9, Anti-glare display, LED Backlit, 200nits, NTSC: 45%, Screen-to-body ratio: 83 % Display ",8GB ,NVMe PCIe SSD 512GB ,Intel UHD Graphics Shared ,Windows 11 Home ,"Slate Grey (EJ2771W-X515JA)
Peacock Blue 36.02 x 23.49 x 1.99 ~ 1.99 cm (14.18"" x 9.25"" x 0.78"" ~ 0.78"") 1.80 kg (3.97 lbs) Body MaterialABS Plastic "
"Asus Vivobook S15 S513EA Core i3 11th Gen 4GB RAM 15.6"" OLED FHD Laptop","72,200৳",Intel Core i3-1115G4 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,4GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,Intel UHD Graphics Shared ,Windows 11 ,"Indie Black 35.90 x 23.50 x 1.79 ~ 1.79 cm (14.13"" x 9.25"" x 0.70"" ~ 0.70"") 1.80 kg (3.97 lbs) Body MaterialPlastic "
"ASUS VivoBook 15 X515EA Core i5 11th Gen 15.6"" FHD Laptop","73,820৳",Intel Core i5-1135G7 ,15.6-inch IPS  FHD (1920 x 1080) Touch ScreenNo ,4GB ,HDD 1TB ,Intel Iris Xe Graphics Shared ,Windows 11 64-bit ,"SLATE GREY (BQ2312W)
PEACOCK BLUE (BQ2313W) 36.02 x 23.49 x 1.99 ~ 1.99 cm (14.18"" x 9.25"" x 0.78"" ~ 0.78"") 1.80 kg (3.97 lbs) "
"ASUS VivoBook 15 X1502ZA Core i3 12th Gen 15.6"" FHD Laptop","76,989৳",Intel Core i3 1220P ,15.6-Inch FHD FHD (1920 x 1080) Touch ScreenNo ,4GB ,PCIe NVMe M.2 SSD 512GB ,Intel UHD Graphics Shared ,Windows 11 Home ,"Quiet Blue (BQ324W-X1502ZA)
Icelight Silver (BQ326W-X1502ZA) 359.7 x 199 x 232.5mm 1.70 kg "
"ASUS VivoBook 14 X1402ZA Core i3 12th Gen 14"" FHD Laptop","76,989৳",Intel Core i3 1220P ,14-Inch IPS FHD (1920 x 1080) Touch ScreenNo ,4GB ,PCIe NVMe M.2 SSD 512GB ,Intel UHD Graphics Shared ,Windows 11 Home ,Quiet Blue 324.9 x 199 x 213.9mm 1.50 kg 
"Asus Vivobook S15 S513EA Core i3 11th Gen 15.6"" OLED FHD Laptop","74,370৳",Intel Core i3-1115G4 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,Intel UHD Graphics Shared ,Windows 11 ,"HEARTY GOLD (L13075W-S513EA)
INDIE BLACK (L13076W-S513EA) 35.90 x 23.50 x 1.79 ~ 1.79 cm (14.13"" x 9.25"" x 0.70"" ~ 0.70"") 1.80 kg (3.97 lbs) Body MaterialPlastic "
"ASUS ExpertBook P1 P1412CEA Core i5 11th Gen 14"" FHD Laptop","73,700৳",Intel Core i5-1135G7 ,"14 inch FHD (1920 x 1080) Touch ScreenNo Display Features16:9, Anti-glare display, LED Backlit, 250nits, NTSC: 45%, Screen-to-body ratio:83 % ",4GB(4GBX1) ,M.2 NVMe PCIe 3.0 SSD 512GB ,INTEL IRIS Xe Shared ,Free Dos ,"Slate Grey 32.54 x 21.60 x 2.04 ~ 2.04 cm (12.81"" x 8.50"" x 0.80"" ~ 0.80"") 1.50 kg (3.31 lbs) "
"ASUS VivoBook 15 X515EA Core i5 11th Gen 512GB SSD 15.6"" IPS FHD Laptop","78,120৳",Intel Core i5-1135G7 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,4GB , PCI-E G3 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 10 64-bit ,"Peacock Blue (BQ847T)
Slate Grey (BQ1117T) 36.02 x 23.49 x 1.99 ~ 1.99 cm (14.18"" x 9.25"" x 0.78"" ~ 0.78"") 1.80 kg (3.97 lbs) "
"ASUS ExpertBook P1 P1412CEA Core i5 11th 8GB RAM Gen 14"" FHD Laptop","75,900৳",Intel Core i5-1135G7 ,"14 inch FHD (1920 x 1080) Touch ScreenNo Display Features16:9, Anti-glare display, LED Backlit, 250nits, NTSC: 45%, Screen-to-body ratio:83 % ",8GB(8GBX1) ,M.2 NVMe PCIe 3.0 SSD 512GB ,INTEL IRIS Xe Shared ,Free Dos ,"Slate Grey 32.54 x 21.60 x 2.04 ~ 2.04 cm (12.81"" x 8.50"" x 0.80"" ~ 0.80"") 1.50 kg (3.31 lbs) "
"ASUS VivoBook 15 X1500EA Core i5 11th Gen 15.6"" FHD Laptop","80,330৳",Intel Core  i5-1135G7 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,HDD 1TB ,Intel Iris Xe Graphics Shared ,Windows 11 Home ,Indie Black 360.0 x 235.0 x 19.9mm 1.80 kg (3.97 lbs) 
"ASUS VivoBook 15 X515EA Core i5 11th Gen 8 GB RAM 15.6"" FHD Laptop","81,960৳",Intel Core i5-1135G7 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,PCI-E G3 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 11 64-bit ,"PEACOCK BLUE (BQ1367W-X515EA) 36.02 x 23.49 x 1.99 ~ 1.99 cm (14.18"" x 9.25"" x 0.78"" ~ 0.78"") 1.80 kg (3.97 lbs) "
"Asus VivoBook X515EP Core i5 11th Gen MX330 2GB Graphics 15.6"" Laptop","80,880৳",Intel Core i5-1135G7 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,4GB ,M.2 NVMe PCIe 3.0 SSD 256GB ,NVIDIA GeForce MX350 2GB ,Windows 11 ,Slate Grey 360 x 235 x 19.9mm 1.80 kg (3.97 lbs) 
"ASUS VivoBook 14 K413EA Core i5 11th Gen 14"" FHD Laptop with Windows 11","82,056৳",Intel  Core i5-1135G7 ,"14.0-inch  FHD (1920 x 1080) Touch ScreenNo Display Features16:9, IPS-level Panel, Anti-glare display, LED Backlit, 300nits, NTSC: 45%, Screen-to-body ratio: 84 ％ ",8GB ,M.2 NVMe PCIe G3.0 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 11 Home ,"Indie Black (EB1919W-K413EA)
Transparent Silver (EB1920W-K413EA)
Heart Gold (EB1918W-K413EA) 32.40 x 21.50 x 1.79 ~ 1.79 cm (12.76"" x 8.46"" x 0.70"" ~ 0.70"") 1.40 kg (3.09 lbs) "
"Asus VivoBook 14 X1400EA Core i5 11th Gen 14"" FHD Laptop","83,590৳",Intel Core  i5-1135G7 ,14-inch FHD LED FHD (1920 x 1080) Touch ScreenNo ,8GB ,HDD 1TB ,Intel Iris Xe Graphics Shared ,Windows 11 Home ,Black 360.0 x 235.0 x 19.9mm 1.80 kg (3.97 lbs) 
"ASUS VivoBook 15 X1500EA Core i5 11th Gen 512GB SSD 15.6"" FHD Laptop","83,600৳",Intel Core  i5-1135G7 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 11 Home ,Indie Black 360.0 x 235.0 x 19.9mm 1.80 kg (3.97 lbs) 
"ASUS VivoBook 14 K413EA Core i5 11th Gen 16GB RAM 14"" FHD Laptop","90,100৳",Intel Core i5-1135G7 ,"14.0-inch FHD (1920 x 1080) Touch ScreenNo Display Features16:9, IPS-level Panel, Anti-glare display, LED Backlit, 250nits, NTSC: 45%, Screen-to-body ratio: 84 ％ ",16GB ,M.2 NVMe PCIe G3.0 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 11 64-Bit ,"HEARTY GOLD (AM2392W-K413EA)
INDIE BLACK (AM2393W-K413EA) 32.40 x 21.50 x 1.79 ~ 1.79 cm (12.76"" x 8.46"" x 0.70"" ~ 0.70"") 1.40 kg (3.09 lbs) "
"Asus ExpertBook B1 B1500CEPE Core i5 11th Gen MX330 2GB Graphics 15.6"" FHD Laptop","88,000৳",Intel Core i5-1135G7 ,"15.6-inch FHD (1920 x 1080) Display FeaturesBrightness: 220 Nits, Aspect Ratio: 16:9, NTSC: 45%, Screen-to-body ratio: 90% ",8GB ,NVMe PCIe SSD 512GB ,NVIDIA GeForce MX350 2GB ,Free Dos ,Star Black (W) 358 mm x (D) 236.5 mm x (H)19.4 mm 1.73 kg 
"ASUS VivoBook 14 X1402ZA Core i5 12th Gen 14"" FHD Laptop","96,800৳",Intel Core i5-1240P ,14-Inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,PCIe NVMe M.2 SSD 512GB ,Intel Iris X Graphics Is Only Available In Models With Intel Core I5/I7/I9 Processors And Dual-Channel Memory Shared ,Windows 11 Home ,"Quiet Blue (EB074W-X1402ZA)
Terra Cotta (EB115W-X1402ZA) 32.49 x 21.39 x 1.99 ~ 1.99 cm 1.50 kg "
"ASUS VivoBook 15 X1502ZA Core i5 12th Gen 15.6"" FHD Laptop","96,800৳",Intel Core i5-1240P ,15.6-Inch FHD FHD (1920 x 1080) Touch ScreenNo ,8GB ,PCIe NVMe M.2 SSD 512GB ,Intel Iris X Graphics Is Only Available In Models With Intel Core I5/I7/I9 Processors And Dual-Channel Memory Shared ,Windows 11 Home ,"Quiet Blue (BQ201W-X1502ZA)
Icelight Silver (BQ331W-X1502ZA) 359.7 x 199 x 232.5mm 1.70 kg "
Asus ExpertBook B3 Flip B3402FEA Core i5 14-inch 360° FHD Touch Laptop,"99,000৳",Intel Core i5-1135G7 ,14.0-inch LED FHD (1920 x 1080) Touch ScreenYes ,8GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,Intel Iris Xe Shared ,Free Dos ,Star Black 32.90 x 22.39 x 1.92 ~ 1.95 cm 1.61 kg (3.55 lbs) 
"ASUS ExpertBook P1 P1512CEA Core i7 11th Gen 15.6"" FHD Laptop","95,150৳",Intel Core i7-1165G7 ,"15.6 inch FHD (1920 x 1080) Touch ScreenNo Display Features16:9, Anti-glare display, LED Backlit, 250nits, NTSC: 45%, Screen-to-body ratio:83 % ",8GB(8GBX1) ,M.2 NVMe PCIe 3.0 SSD 512GB ,INTEL IRIS Xe Shared ,Free Dos ,"Slate Grey 32.54 x 21.60 x 2.04 ~ 2.04 cm (12.81"" x 8.50"" x 0.80"" ~ 0.80"") 1.50 kg (3.31 lbs) "
"Asus VivoBook 15 K513EQ Core i5 11th Gen 15.6"" FHD Laptop with Windows 11","100,410৳",Intel Core i5-1135G7 ,15.6-inch IPS FHD (1920 x 1080) Touch ScreenNo ,8GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,NVIDIA GeForce MX350 & Integrated Intel IRIS Xe 2GB ,Windows 11 ,"HEARTY GOLD (BN591W-K513EQ)
INDIE BLACK (BN592W/BN721W-K513EQ )
TRANSPARENT SILVER (BN722W-K513EQ) 35.90 x 23.50 x 1.79 ~ 1.79 cm 1.80 kg (3.97 lbs) "
"ASUS Vivobook Pro 15 M3500QA Ryzen 7 5800H 15.6"" FHD Laptop","100,466৳",AMD Ryzen 7 5800H ,15.6 Inch IPS FHD (1920 X 1080) Touch ScreenNo ,8GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,AMD RADEON Shared ,Windows 10 Home ,Quiet Blue 35.98 x 23.53 x 1.89 ~ 1.99 cm 1.65 kg (3.64 lbs) 
"Asus VivoBook S15 S533EQ Core i5 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop With Windows 11","102,800৳",Intel Core i5-1135G7 ,15.6 Inch FHD LED Full HD (1920 x 1080) Touch ScreenNo ,8GB , PCIEG3 SSD 512GB ,Nvidia GeForce MX350 2GB ,Windows 11 ,"INDIE BLACK Height: 1.61cm (0.63 inches)
Width: 35.98cm (14.17 inches)
Depth: 23.38cm (9.2 inches) 1.8kg (3.97 pounds) "
"ASUS ExpertBook B5 B5302CEA Core i5 11th Gen 13.3"" FHD Laptop","107,250৳",Intel Core i5-1135G7 ,"13.3-inch FHD (1920 x 1080) Touch ScreenN/A Display Features16:9, Wide view, Anti-glare display, LED Backlit, 300nits, sRGB: 100%, Screen-to-body ratio:78 ％ ",8GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,Intel Iris Xe Graphics Graphics TypeShared ,Windows 10 Home ,"Star Black 30.90 x 21.06 x 1.69 ~ 1.69 cm (12.17"" x 8.29"" x 0.67"" ~ 0.67"") 1.10 kg (2.43 lbs)
1.23 kg (2.71 lbs) "
"Asus TUF Gaming F15 FX506LH Core i5 10th Gen GTX 1650 4GB Graphics 15.6"" FHD Gaming Laptop with Windows 11","103,660৳",Intel Core i5-10300H ,15.6 Inch IPS Full HD (1920x1080) Touch ScreenNo ,8GB ,PCIE G3 SSD 512GB ,NVIDIA GeForce GTX 1650 4GB ,Windows 11 ,Black 14.00 x 10.00 x 1.00 inches 5.00 lbs Body MaterialPlastic 
"Asus TUF Gaming F15 FX506LHB Core i5 10th Gen GTX 1650 4GB Graphics 15.6"" FHD Gaming Laptop","102,470৳",Intel Core i5-10300H ,15.6 Inch IPS Full HD (1920x1080) Touch ScreenNo ,8GB ,PCIE G3 SSD 512GB ,NVIDIA GeForce GTX 1650 4GB ,Windows 11 ,Black 14.00 x 10.00 x 1.00 inches 5.00 lbs Body MaterialPlastic 
"ASUS ZenBook 14 UM425UA Ryzen 5 5500U 14"" FHD Laptop","105,200৳",AMD Ryzen 5 5500U ,14 Inch IPS FHD (1920x1080) Touch ScreenNo ,8GB ,PCIe NVMe 3.0 x2 M.2 SSD 512GB ,AMD Radeon Shared ,Windows 11 Home ,PINE GREY 1.43 x 31.9 x 21 cm 1.22 kg 
"ASUS VivoBook 14X X1403ZA Core i5 12th Gen 14"" OLED Laptop","112,200৳",Intel Core i5 12500H ,14-Inch 2.8K OLED WQHD 2880x1800 Touch ScreenNo ,8GB ,PCIe NVMe M.2 SSD 512GB ,Intel UHD Graphics Shared ,Windows 11 Home ,Quiet Blue 317.1 x 222 x 19.9mm 1.60 kg (with Battery) 
"Asus VivoBook 15 S513EQ Core i5 11th Gen 8GB RAM 15.6"" OLED FHD Laptop","108,540৳",Intel Core i5-1135G7 ,15.6-inch OLED FHD (1920 x 1080) Touch ScreenNo ,8GBX1 ,M.2 NVMe PCIe 3.0 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 11 64-bit ,"HEARTY GOLD (L1661W-S513EQ / L1733W-S513EQ)
INDIE BLACK (L1662W-S513EQ / L1734W-S513EQ) 35.90 x 23.50 x 1.79 ~ 1.79 cm 1.80 kg (3.97 lbs) "
"Asus VivoBook 15 OLED K513EQ Core i5 11th Gen MX350 2GB Graphics 15.6"" FHD Laptop","109,450৳",Intel Core i5-1135G7 ,15.6-inch OLED  FHD (1920 x 1080) Touch ScreenNo ,8GB , PCIe Gen3 x2 M.2 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 10 64-bit ,"Indie Black (L1435T-K513EQ)
Hearty Gold (L1434T-K513EQ) 35.90 x 23.50 x 1.79 ~ 1.79 cm 1.80 kg (3.97 lbs) "
"Asus VivoBook 15 K513EQ Core i5 11th Gen 15.6"" OLED FHD Laptop","110,170৳",Intel Core i5-1135G7 ,"15.6-inch, OLED FHD (1920 x 1080) Touch ScreenNo ",8GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 11 ,"Indie Black (L1597W-K513EQ / L1662W-S513EQ / L1734W-S513EQ)
Hearty Gold (L1596W-K513EQ / L1733W-S513EQ) 35.90 x 23.50 x 1.79 ~ 1.79 cm 1.80 kg (3.97 lbs) "
"Asus ZenBook 14 UX425EA Intel Core i5 1135G7 11th Gen 14"" FHD WV Laptop","115,600৳",Intel Core i5-1135G7 ,"14"" FHD LED 1920x1080 (WxH) FHD Refresh Rate60 Hz ",8GB ,NVMe PCIe 512GB SSD ,Intel Iris Xe Graphics Shared ,Win-11 Home ,Pine Grey 319.0 x 208.0 x 13.9 - 13.9 mm 1.17 kg 
"Asus ExpertBook B1 B1400CEAE Core i7 11th Gen 14"" FHD Laptop","112,200৳",Intel Core i7-1165G7 ,14 Inch IPS FHD (1920 x 1080) Touch ScreenNo ,16GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,Intel Iris Xe Graphics Shared ,Free Dos ,Star Black 32.34 x 21.56 x 1.92 cm 1.45 kg (With Battery) Body MaterialAluminum 
"Asus VivoBook 15 X513EP Core i7 11th Gen MX330 2GB Graphics 15.6"" FHD Laptop With Windows 11","119,900৳",Intel Core i7-1165G7 ,"15.6"" LED FHD (1920x1080) Display Features60Hz Anti-Glare Panel with 45% NTSC with wide 178° viewing angles ",8GB ,PCIe NVMe M.2 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 11 ,"Bespoke Black (BQ896W-X513EP)
Cobalt Blue (BQ897W-X513EP) 359 x 235 x 19.9 mm (WxDxH) 1.7 kg "
"Asus VivoBook 15 K513EQ Core i7 11th Gen 15.6"" FHD Laptop","119,350৳",Intel Core i7-1165G7 ,15.6 Inch IPS FHD (1920X1080) Touch ScreenNo ,8GB ,PCIe Gen3 x2 M.2 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 10 64-bit ,Hearty Gold 35.90 x 23.50 x 1.79 ~ 1.79 cm 1.80 kg (3.97 lbs) 
"ASUS ZenBook 14 UM425UA Ryzen 7 5700U 14"" FHD Laptop with Windows 11","121,020৳",AMD Ryzen 7 5700U ,14 Inch IPS FHD (1920x1080) Touch ScreenNo ,16GB ,PCIe NVMe 3.0 x2 M.2 SSD 512GB ,AMD Radeon Shared ,Windows 11 Home ,PINE GREY 1.43 x 31.9 x 21 cm 1.22 kg 
"Asus VivoBook 15 K513EQ Core i7 11th Gen 15.6"" FHD Laptop with Windows 11","119,940৳",Intel Core i7-1165G7 ,15.6 Inch IPS  FHD (1920X1080) Touch ScreenNo ,8GB ,PCIe Gen3 x2 M.2 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 11 ,Hearty Gold 35.90 x 23.50 x 1.79 ~ 1.79 cm 1.80 kg (3.97 lbs) 
"ASUS VivoBook Pro 15 K3500PA Core i7 11th Gen 15.6"" FHD Laptop","122,110৳",Intel Core i7-11370H ,15.6 Inch LED  FHD (1920x1080 ) Touch ScreenNo ,8GB ,M.2 NVMe PCIe G3.0 SSD 512GB ,Intel Iris Xe Shared ,Windows 10 Home ,Quiet Blue 359.8 x 235.3 x 199mm 1.65 kg 
"Asus VivoBook 14 K413EQ Core i7 11th Gen 14"" FHD Laptop","122,110৳",Intel Core i7-1165G7 ,14 inch IPS  FHD (1920X1080) Touch ScreenNo ,16GB ,PCIe Gen3 x2 M.2 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 11 64-bit ,"Indie Black (AM566W-K413EQ)
Hearty Gold (AM565W-K413EQ) 35.90 x 23.50 x 1.79 ~ 1.79 cm (14.13"" x 9.25"" x 0.70"" ~ 0.70"") 1.80 kg (3.97 lbs) "
Asus ExpertBook B3 Flip B3402FEA Core i7 16gb Ram 14-inch 360° FHD Touch Laptop,"117,700৳",Intel Core i7-1165G7 ,14 Inch IPS FHD (1920 x 1080) Touch ScreenYes ,16GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,Intel Iris Xe Graphics Shared ,Free Dos ,Star Black 32.90 x 22.39 x 1.92 ~ 1.95 cm 1.61Kg (with Battery) Body MaterialAluminum 
"Asus VivoBook 15 S513EQ Core i7 11th Gen MX350 2GB Graphics 15.6"" FHD OLED Laptop","126,450৳",Intel Core i7-1165G7 ,15.6 Inch OLED  FHD (1920x1080) Touch ScreenNo ,8GB ,M.2 NVMe PCIe 3.0 SSD 512GB ,NVIDIA GeForce MX350 2GB ,Windows 11 64-bit ,"HEARTY GOLD (L1659W-S513EQ)
INDIE BLACK (L1660W-S513EQ) 35.90 x 23.50 x 1.79 ~ 1.79 cm (14.13"" x 9.25"" x 0.70"" ~ 0.70"") 1.80 kg (3.97 lbs) "
"ASUS ZenBook 14X UX5401EA Core i5 11th Gen 14"" 2.8K OLED Touch Laptop","130,900৳",Intel Core i5-1135G7 ,14 inch OLED 2.8K (2880X1800) Touch ScreenYes ,8GB ,M.2 NVMe PCIe 3.0 G4 SSD 512GB ,Intel Iris Xe Graphics Shared ,Windows 10 ,"Pine Gray 31.12 x 22.11 x 1.59 ~ 1.59 cm (12.25"" x 8.70"" x 0.63"" ~ 0.63"") 1.4 kg (3.09 lbs) "
